
Tour Summary
Artist: Garbage (MH)
Garbage Happy Endings Tour  for 09/03/2025 to 10/26/2025
Date,City,State,Zip,Venue,Venue Actual %,Capacity,Attend,Currency,Exch. Rate,Per Head,Gross,Tax,Payment Fees,Venue Fee,Venue Adjust.,Vend Fee,Ext Exp,Bootleg Exp,Selling Exp,Net Receipts
10/15/2025,Seattle,"",98101,Paramount Theatre,17%,"2,735","2,443",USD,1.0,$18.19,"$44,427.58","$4,166.97","$2,221.38","$7,383.90",$0.00,$0.00,$189.63,$0.00,"$9,794.91","$30,465.70"
10/17/2025,Boise,ID,83702,Knitting Factory,0%,"2,606",817,USD,1.0,$14.93,"$12,200.60",$690.60,$639.09,$0.00,$0.00,$543.55,$0.00,$0.00,"$1,182.64","$10,327.36"
10/18/2025,Spokane,WA,99201,The Knitting Factory,13%,"1,427","1,085",USD,1.0,$17.11,"$18,568.83","$1,548.82",$970.22,"$2,330.97",$0.00,$802.49,$0.00,$0.00,"$4,103.68","$12,916.33"
10/20/2025,Vancouver,BC,V6Z1K3,Orpheum Theatre,13%,"2,515","2,304",CAD,0.713428,$11.81,"$27,195.88","$2,913.85","$1,362.31","$3,437.97",$0.00,$0.00,"$1,032.00",$0.00,"$5,832.27","$18,449.76"
10/21/2025,Portland,Or,97209,McMenamins Crystal Ballroom,19%,"1,460","1,373",USD,1.0,$16.74,"$22,980.00",$0.00,"$1,217.55","$4,271.49",$0.00,"$1,088.12",$0.00,$0.00,"$6,577.16","$16,402.84"
10/23/2025,Saratoga,CA,95070,Mountain Winery,21%,"2,500","1,833",USD,1.0,$13.18,"$24,155.00","$2,019.83","$1,193.00","$5,144.82",$0.00,$0.00,$0.00,$0.00,"$6,337.82","$15,797.35"
10/24/2025,San Francisco,CA,94102,Warfield Theatre,17%,"2,454","2,160",USD,1.0,$15.08,"$32,576.80","$2,586.65","$1,711.17","$5,574.80",$0.00,"$1,413.95",$0.00,$0.00,"$8,699.92","$21,290.23"
10/26/2025,Reno,NV,89501,Silver Legacy Resort Casino Reno,17%,"1,456","1,015",USD,1.0,$18.15,"$18,422.69","$1,406.39",$965.36,"$3,159.18",$0.00,$802.55,$0.00,$0.00,"$4,927.09","$12,089.21"
TOTAL,"","","","","","103,504","97,665","","","","$801,101.56","$54,812.30","$40,378.53","$115,597.34",$0.01,"$20,098.65","$1,622.63",$0.00,"$177,697.15","$568,592.11"
Avg/Show,"","","","",14%,"3,136","2,960","","",$8.20,"$24,275.80","$1,660.98","$1,223.59","$3,502.95",$0.00,$609.05,$49.17,$0.00,"$5,384.76","$17,230.06"
