APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
GAR-T2022-S,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,S,13,8%,0,$40.00,$520.00,8%
GAR-T2022-M,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,M,25,16%,0,$40.00,"$1,000.00",16%
GAR-T2022-L,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,L,44,29%,0,$40.00,"$1,760.00",29%
GAR-T2022-XL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,XL,41,27%,0,$40.00,"$1,640.00",27%
GAR-T2022-XXL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,2XL,30,20%,0,$40.00,"$1,200.00",20%
SUBTOTAL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,"",153,25%,0,$40.00,"$6,120.00",26%

GAR-T2021-S,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,S,12,9%,0,$40.00,$480.00,9%
GAR-T2021-M,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,M,27,20%,0,$40.00,"$1,080.00",20%
GAR-T2021-L,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,L,37,28%,0,$40.00,"$1,480.00",28%
GAR-T2021-XL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,XL,37,28%,0,$40.00,"$1,480.00",28%
GAR-T2021-XXL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,2XL,20,15%,0,$40.00,$800.00,15%
SUBTOTAL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,"",133,22%,0,$40.00,"$5,320.00",23%

GAR-T2024-S,Shirley Lightning Face T-Shirt ,T-Shirt,U,S,8,12%,0,$40.00,$320.00,12%
GAR-T2024-M,Shirley Lightning Face T-Shirt ,T-Shirt,U,M,15,23%,0,$40.00,$600.00,23%
GAR-T2024-L,Shirley Lightning Face T-Shirt ,T-Shirt,U,L,11,17%,0,$40.00,$440.00,17%
GAR-T2024-XL,Shirley Lightning Face T-Shirt ,T-Shirt,U,XL,19,29%,0,$40.00,$760.00,29%
GAR-T2024-XXL,Shirley Lightning Face T-Shirt ,T-Shirt,U,2XL,12,18%,0,$40.00,$480.00,18%
SUBTOTAL,Shirley Lightning Face T-Shirt ,T-Shirt,U,"",65,11%,0,$40.00,"$2,600.00",11%

GAR-T2023-S,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,S,10,10%,0,$40.00,$400.00,10%
GAR-T2023-M,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,M,24,24%,0,$40.00,$960.00,24%
GAR-T2023-L,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,L,22,22%,0,$40.00,$880.00,22%
GAR-T2023-XL,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,XL,22,22%,0,$40.00,$880.00,22%
GAR-T2023-XXL,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,2XL,20,20%,0,$40.00,$800.00,20%
SUBTOTAL,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,"",98,16%,0,$40.00,"$3,920.00",17%

GAR-HOOD1012-S,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,S,0,0%,0,$0.00,$0.00,0%
GAR-HOOD1012-M,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,M,9,24%,0,$70.00,$630.00,24%
GAR-HOOD1012-L,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,L,9,24%,0,$70.00,$630.00,24%
GAR-HOOD1012-XL,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,XL,14,37%,0,$70.00,$980.00,37%
GAR-HOOD1012-XXL,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,2XL,6,16%,0,$70.00,$420.00,16%
SUBTOTAL,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,"",38,6%,0,$70.00,"$2,660.00",11%

GAR-ACC1064,Octopus Hat,Hat,U,One-Size,14,100%,0,$35.00,$490.00,100%
SUBTOTAL,Octopus Hat,Hat,U,"",14,2%,0,$35.00,$490.00,2%

TOTAL APPAREL,"","","","",501,81%,0,"","$21,110.00",90%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
GAR-ACC1066,Garbage Band Photo Tote,Bag,"",,31,5%,0,$30.00,$930.00,4%
GAR-ACC1065,2025 North American Tour Poster ,Poster,"",,46,7%,0,$15.00,$690.00,3%
GAR-ACC1063,Octopus Keychain,Keychain,"",,23,4%,0,$15.00,$345.00,1%

TOTAL OTHER,"","","","",100,16%,0,"","$1,965.00",8%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
GAR-VIN1008,Vinyl Let All That We Imagine Be The Light,Vinyl,"",,14,2%,0,$30.00,$420.00,2%

TOTAL MUSIC,"","","","",14,2%,0,"",$420.00,2%

GRAND TOTAL,"","","","",615,"",0,"","$23,495.00"
