APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
JELROL-T10079-S,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,S,77,13%,0,$49.12,"$3,782.24",13%
JELROL-T10079-M,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,M,113,19%,0,$49.12,"$5,550.56",19%
JELROL-T10079-L,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,L,139,24%,0,$49.12,"$6,827.68",24%
JELROL-T10079-XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,XL,132,23%,0,$49.12,"$6,483.84",23%
JELROL-T10079-XXL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,2XL,66,11%,0,$49.12,"$3,241.92",11%
JELROL-T10079-3XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,3XL,57,10%,0,$49.12,"$2,799.84",10%
SUBTOTAL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,"",584,22%,0,$49.12,"$28,686.08",24%

JELROL-T10080-S,Beautifully Broken Face Tee,T-Shirt,U,S,83,14%,0,$49.12,"$4,076.96",14%
JELROL-T10080-M,Beautifully Broken Face Tee,T-Shirt,U,M,133,22%,0,$49.12,"$6,532.96",22%
JELROL-T10080-L,Beautifully Broken Face Tee,T-Shirt,U,L,134,23%,0,$49.12,"$6,582.08",23%
JELROL-T10080-XL,Beautifully Broken Face Tee,T-Shirt,U,XL,119,20%,0,$49.12,"$5,845.28",20%
JELROL-T10080-XXL,Beautifully Broken Face Tee,T-Shirt,U,2XL,84,14%,0,$49.12,"$4,126.08",14%
JELROL-T10080-3XL,Beautifully Broken Face Tee,T-Shirt,U,3XL,41,7%,0,$49.12,"$2,013.92",7%
SUBTOTAL,Beautifully Broken Face Tee,T-Shirt,U,"",594,23%,0,$49.12,"$29,177.28",24%

JELROL-T10081-S,DREAMS DONT DIE TEE,T-Shirt,U,S,55,14%,0,$49.12,"$2,701.60",14%
JELROL-T10081-M,DREAMS DONT DIE TEE,T-Shirt,U,M,94,24%,0,$49.12,"$4,617.28",24%
JELROL-T10081-L,DREAMS DONT DIE TEE,T-Shirt,U,L,98,25%,0,$49.12,"$4,813.76",25%
JELROL-T10081-XL,DREAMS DONT DIE TEE,T-Shirt,U,XL,89,23%,0,$49.12,"$4,371.68",23%
JELROL-T10081-XXL,DREAMS DONT DIE TEE,T-Shirt,U,2XL,50,13%,0,$49.12,"$2,456.00",13%
JELROL-T10081-3XL,DREAMS DONT DIE TEE,T-Shirt,U,3XL,2,1%,0,$49.12,$98.24,1%
SUBTOTAL,DREAMS DONT DIE TEE,T-Shirt,U,"",388,15%,0,$49.12,"$19,058.56",16%

JELROL-T10082-S,EAGLE TEE,T-Shirt,U,S,53,15%,0,$49.12,"$2,603.36",15%
JELROL-T10082-M,EAGLE TEE,T-Shirt,U,M,74,21%,0,$49.12,"$3,634.88",21%
