APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
JELROL-T10079-S,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,S,238,11%,0,$46.00,"$10,948.00",11%
JELROL-T10079-M,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,M,399,18%,0,$46.00,"$18,354.00",18%
JELROL-T10079-L,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,L,578,26%,0,$46.00,"$26,588.00",26%
JELROL-T10079-XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,XL,571,26%,0,$46.00,"$26,266.00",26%
JELROL-T10079-XXL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,2XL,278,13%,0,$46.00,"$12,788.00",13%
JELROL-T10079-3XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,3XL,131,6%,0,$46.00,"$6,026.00",6%
SUBTOTAL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,"",2195,27%,0,$46.00,"$100,970.00",25%

JELROL-T10080-S,Beautifully Broken Face Tee,T-Shirt,U,S,115,11%,0,$46.00,"$5,290.00",11%
JELROL-T10080-M,Beautifully Broken Face Tee,T-Shirt,U,M,200,19%,0,$46.00,"$9,200.00",19%
JELROL-T10080-L,Beautifully Broken Face Tee,T-Shirt,U,L,272,26%,0,$46.00,"$12,512.00",26%
JELROL-T10080-XL,Beautifully Broken Face Tee,T-Shirt,U,XL,209,20%,0,$46.00,"$9,614.00",20%
JELROL-T10080-XXL,Beautifully Broken Face Tee,T-Shirt,U,2XL,183,17%,0,$46.00,"$8,418.00",17%
JELROL-T10080-3XL,Beautifully Broken Face Tee,T-Shirt,U,3XL,73,7%,0,$46.00,"$3,358.00",7%
SUBTOTAL,Beautifully Broken Face Tee,T-Shirt,U,"",1052,13%,0,$46.00,"$48,392.00",12%

JELROL-T10081-S,DREAMS DONT DIE TEE,T-Shirt,U,S,124,11%,0,$46.00,"$5,704.00",11%
JELROL-T10081-M,DREAMS DONT DIE TEE,T-Shirt,U,M,205,19%,0,$46.00,"$9,430.00",19%
JELROL-T10081-L,DREAMS DONT DIE TEE,T-Shirt,U,L,277,25%,0,$46.00,"$12,742.00",25%
JELROL-T10081-XL,DREAMS DONT DIE TEE,T-Shirt,U,XL,317,29%,0,$46.00,"$14,582.00",29%
JELROL-T10081-XXL,DREAMS DONT DIE TEE,T-Shirt,U,2XL,157,14%,0,$46.00,"$7,222.00",14%
JELROL-T10081-3XL,DREAMS DONT DIE TEE,T-Shirt,U,3XL,18,2%,0,$46.00,$828.00,2%
SUBTOTAL,DREAMS DONT DIE TEE,T-Shirt,U,"",1098,14%,0,$46.00,"$50,508.00",12%

JELROL-T10082-S,EAGLE TEE,T-Shirt,U,S,91,9%,0,$46.00,"$4,186.00",9%
JELROL-T10082-M,EAGLE TEE,T-Shirt,U,M,182,18%,0,$46.00,"$8,372.00",18%
JELROL-T10082-L,EAGLE TEE,T-Shirt,U,L,249,25%,0,$46.00,"$11,454.00",25%
JELROL-T10082-XL,EAGLE TEE,T-Shirt,U,XL,267,27%,0,$46.00,"$12,282.00",27%
JELROL-T10082-XXL,EAGLE TEE,T-Shirt,U,2XL,116,12%,0,$46.00,"$5,336.00",12%
JELROL-T10082-3XL,EAGLE TEE,T-Shirt,U,3XL,90,9%,0,$46.00,"$4,140.00",9%
SUBTOTAL,EAGLE TEE,T-Shirt,U,"",995,12%,0,$46.00,"$45,770.00",11%

