APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
JELROL-T10079-S,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,S,215,12%,0,$50.21,"$10,795.15",12%
JELROL-T10079-M,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,M,383,21%,0,$50.21,"$19,230.43",21%
JELROL-T10079-L,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,L,473,26%,0,$50.21,"$23,749.33",26%
JELROL-T10079-XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,XL,336,19%,0,$50.21,"$16,870.56",19%
JELROL-T10079-XXL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,2XL,283,16%,0,$50.21,"$14,209.43",16%
JELROL-T10079-3XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,3XL,106,6%,0,$50.21,"$5,322.26",6%
SUBTOTAL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,"",1796,34%,0,$50.21,"$90,177.16",34%

JELROL-T10080-S,Beautifully Broken Face Tee,T-Shirt,U,S,73,11%,0,$50.21,"$3,665.33",11%
JELROL-T10080-M,Beautifully Broken Face Tee,T-Shirt,U,M,121,19%,0,$50.21,"$6,075.41",19%
JELROL-T10080-L,Beautifully Broken Face Tee,T-Shirt,U,L,169,26%,0,$50.21,"$8,485.49",26%
JELROL-T10080-XL,Beautifully Broken Face Tee,T-Shirt,U,XL,170,26%,0,$50.21,"$8,535.70",26%
JELROL-T10080-XXL,Beautifully Broken Face Tee,T-Shirt,U,2XL,75,12%,0,$50.21,"$3,765.75",12%
JELROL-T10080-3XL,Beautifully Broken Face Tee,T-Shirt,U,3XL,43,7%,0,$50.21,"$2,159.03",7%
SUBTOTAL,Beautifully Broken Face Tee,T-Shirt,U,"",651,12%,0,$50.21,"$32,686.71",13%

JELROL-T10081-S,DREAMS DONT DIE TEE,T-Shirt,U,S,129,13%,0,$50.21,"$6,477.09",13%
JELROL-T10081-M,DREAMS DONT DIE TEE,T-Shirt,U,M,219,21%,0,$50.21,"$10,995.99",21%
JELROL-T10081-L,DREAMS DONT DIE TEE,T-Shirt,U,L,277,27%,0,$50.21,"$13,908.17",27%
JELROL-T10081-XL,DREAMS DONT DIE TEE,T-Shirt,U,XL,286,28%,0,$50.21,"$14,360.06",28%
JELROL-T10081-XXL,DREAMS DONT DIE TEE,T-Shirt,U,2XL,115,11%,0,$50.21,"$5,774.15",11%
JELROL-T10081-3XL,DREAMS DONT DIE TEE,T-Shirt,U,3XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,DREAMS DONT DIE TEE,T-Shirt,U,"",1026,19%,0,$50.21,"$51,515.46",20%

JELROL-T10082-S,EAGLE TEE,T-Shirt,U,S,86,13%,0,$50.21,"$4,318.06",13%
JELROL-T10082-M,EAGLE TEE,T-Shirt,U,M,119,18%,0,$50.21,"$5,974.99",18%
JELROL-T10082-L,EAGLE TEE,T-Shirt,U,L,163,25%,0,$50.21,"$8,184.23",25%
JELROL-T10082-XL,EAGLE TEE,T-Shirt,U,XL,164,25%,0,$50.21,"$8,234.44",25%
JELROL-T10082-XXL,EAGLE TEE,T-Shirt,U,2XL,70,11%,0,$50.21,"$3,514.70",11%
JELROL-T10082-3XL,EAGLE TEE,T-Shirt,U,3XL,54,8%,0,$50.21,"$2,711.34",8%
SUBTOTAL,EAGLE TEE,T-Shirt,U,"",656,12%,0,$50.21,"$32,937.76",13%

JELROL-TOUR-T1014-S,I'm Not Okay Tee,T-Shirt,U,S,0,0%,0,$0.00,$0.00,0%
JELROL-TOUR-T1014-M,I'm Not Okay Tee,T-Shirt,U,M,0,0%,0,$0.00,$0.00,0%
JELROL-TOUR-T1014-L,I'm Not Okay Tee,T-Shirt,U,L,0,0%,0,$0.00,$0.00,0%
JELROL-TOUR-T1014-XL,I'm Not Okay Tee,T-Shirt,U,XL,0,0%,0,$0.00,$0.00,0%
JELROL-TOUR-T1014-XXL,I'm Not Okay Tee,T-Shirt,U,2XL,0,0%,0,$0.00,$0.00,0%
JELROL-TOUR-T1014-3XL,I'm Not Okay Tee,T-Shirt,U,3XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,I'm Not Okay Tee,T-Shirt,U,"",0,0%,0,$0.00,$0.00,0%

JELROL-TOUR-HOOD1002-S,"BLACK, ANARCHY SKULL HOODIE 25'",Pullover Hoodie,"",S,30,12%,0,$110.24,"$3,307.20",12%
JELROL-TOUR-HOOD1002-M,"BLACK, ANARCHY SKULL HOODIE 25'",Pullover Hoodie,"",M,41,16%,0,$110.24,"$4,519.84",16%
JELROL-TOUR-HOOD1002-L,"BLACK, ANARCHY SKULL HOODIE 25'",Pullover Hoodie,"",L,71,29%,0,$110.24,"$7,827.04",29%
JELROL-TOUR-HOOD1002-XL,"BLACK, ANARCHY SKULL HOODIE 25'",Pullover Hoodie,"",XL,54,22%,0,$110.24,"$5,952.96",22%
JELROL-TOUR-HOOD1002-XXL,"BLACK, ANARCHY SKULL HOODIE 25'",Pullover Hoodie,"",2XL,53,21%,0,$110.24,"$5,842.72",21%
JELROL-TOUR-HOOD1002-3XL,"BLACK, ANARCHY SKULL HOODIE 25'",Pullover Hoodie,"",3XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,"BLACK, ANARCHY SKULL HOODIE 25'",Pullover Hoodie,"","",249,5%,0,$110.24,"$27,449.76",11%

TOTAL APPAREL,"","","","",4378,83%,0,"","$234,766.85",90%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
JELROL-TOUR-ACC1003,Get By Koozie,Koozie,U,,0,0%,0,$0.00,$0.00,0%
JELROL-TOUR-ACC1004,Skull Tallboy Koozie,Koozie,U,,0,0%,0,$0.00,$0.00,0%
JELROL-HAT2006,Distressed Denim Hat,Hat - Other,U,,285,5%,1,$50.21,"$14,309.85",5%
JELROL-ACC1048,Tall Boy Koozie,Koozie,U,,278,5%,0,$12.01,"$3,338.78",1%
"",Get By Bandana,Bandana,U,,273,5%,0,$22.92,"$6,257.16",2%
JELROL-ACC1049,DREAMS DONT DIE METALLIC TOTE,Bag,U,,70,1%,0,$39.29,"$2,750.30",1%

TOTAL OTHER,"","","","",906,17%,1,"","$26,656.09",10%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
 JELROL-VINYL1006,Live in Canada 7” Vinyl,Vinyl,"",,0,0%,0,$0.00,$0.00,0%

TOTAL MUSIC,"","","","",0,0%,0,"",$0.00,0%

GRAND TOTAL,"","","","",5284,"",1,"","$261,422.94"
