APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
DEFTONES-T1081-S,North america leg 2 tour t-shirt,T-Shirt,U,S,169,13%,0,$49.81,"$8,417.89",13%
DEFTONES-T1081-M,North america leg 2 tour t-shirt,T-Shirt,U,M,243,18%,0,$49.81,"$12,103.83",18%
DEFTONES-T1081-L,North america leg 2 tour t-shirt,T-Shirt,U,L,449,34%,0,$49.81,"$22,364.69",34%
DEFTONES-T1081-XL,North america leg 2 tour t-shirt,T-Shirt,U,XL,309,23%,0,$49.81,"$15,391.29",23%
DEFTONES-T1081-XXL,North america leg 2 tour t-shirt,T-Shirt,U,2XL,162,12%,0,$49.81,"$8,069.22",12%
SUBTOTAL,North america leg 2 tour t-shirt,T-Shirt,U,"",1332,20%,0,$49.81,"$66,346.92",17%

DEFTONES-T1082-S,"KHAKI, SCORPION TEE	",T-Shirt,U,S,74,10%,0,$49.81,"$3,685.94",10%
DEFTONES-T1082-M,"KHAKI, SCORPION TEE	",T-Shirt,U,M,165,22%,0,$49.81,"$8,218.65",22%
DEFTONES-T1082-L,"KHAKI, SCORPION TEE	",T-Shirt,U,L,212,29%,0,$49.81,"$10,559.72",29%
DEFTONES-T1082-XL,"KHAKI, SCORPION TEE	",T-Shirt,U,XL,203,28%,0,$49.81,"$10,111.43",28%
DEFTONES-T1082-XXL,"KHAKI, SCORPION TEE	",T-Shirt,U,2XL,81,11%,0,$49.81,"$4,034.61",11%
SUBTOTAL,"KHAKI, SCORPION TEE	",T-Shirt,U,"",735,11%,0,$49.81,"$36,610.35",10%

DEFTONES-T1083-S,Band photo t-shirt,T-Shirt,U,S,27,9%,0,$49.81,"$1,344.87",9%
DEFTONES-T1083-M,Band photo t-shirt,T-Shirt,U,M,82,27%,0,$49.81,"$4,084.42",27%
DEFTONES-T1083-L,Band photo t-shirt,T-Shirt,U,L,93,31%,0,$49.81,"$4,632.33",31%
DEFTONES-T1083-XL,Band photo t-shirt,T-Shirt,U,XL,69,23%,0,$49.81,"$3,436.89",23%
DEFTONES-T1083-XXL,Band photo t-shirt,T-Shirt,U,2XL,30,10%,0,$49.81,"$1,494.30",10%
SUBTOTAL,Band photo t-shirt,T-Shirt,U,"",301,4%,0,$49.81,"$14,992.81",4%

DEFTONES-T1084-S,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,S,65,10%,0,$49.81,"$3,237.65",10%
DEFTONES-T1084-M,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,M,159,25%,0,$49.81,"$7,919.79",25%
DEFTONES-T1084-L,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,L,198,31%,0,$49.81,"$9,862.38",31%
