APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
SUBTOTAL,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,"",600,8%,0,$45.00,"$27,000.00",7%

DEFTONES-T1089-S,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,S,61,43%,0,$45.00,"$2,745.00",43%
DEFTONES-T1089-M,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,M,35,24%,0,$45.00,"$1,575.00",24%
DEFTONES-T1089-L,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,L,28,20%,0,$45.00,"$1,260.00",20%
DEFTONES-T1089-XL,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,XL,8,6%,0,$45.00,$360.00,6%
DEFTONES-T1089-XXL,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,2XL,11,8%,0,$45.00,$495.00,8%
SUBTOTAL,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,"",143,2%,0,$45.00,"$6,435.00",2%

DEFTONES-LS1016-S,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,S,23,14%,0,$70.00,"$1,610.00",14%
DEFTONES-LS1016-M,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,M,42,26%,0,$70.00,"$2,940.00",26%
DEFTONES-LS1016-L,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,L,49,31%,0,$70.00,"$3,430.00",31%
DEFTONES-LS1016-XL,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,XL,31,19%,0,$70.00,"$2,170.00",19%
DEFTONES-LS1016-XXL,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,2XL,15,9%,0,$70.00,"$1,050.00",9%
SUBTOTAL,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,"",160,2%,0,$70.00,"$11,200.00",3%

DEFTONES-SHORTS1005-S,deftones snake shorts ,Shorts,U,S,15,12%,1,$60.00,$900.00,12%
DEFTONES-SHORTS1005-M,deftones snake shorts ,Shorts,U,M,44,34%,4,$60.00,"$2,640.00",34%
DEFTONES-SHORTS1005-L,deftones snake shorts ,Shorts,U,L,43,33%,7,$60.00,"$2,580.00",33%
DEFTONES-SHORTS1005-XL,deftones snake shorts ,Shorts,U,XL,25,19%,6,$60.00,"$1,500.00",19%
DEFTONES-SHORTS1005-XXL,deftones snake shorts ,Shorts,U,2XL,2,2%,2,$60.00,$120.00,2%
SUBTOTAL,deftones snake shorts ,Shorts,U,"",129,2%,20,$60.00,"$7,740.00",2%

DEFTONES-HOOD1033-S,north america leg 2 tour hoodie,Pullover Hoodie,U,S,44,7%,0,$80.00,"$3,520.00",7%
DEFTONES-HOOD1033-M,north america leg 2 tour hoodie,Pullover Hoodie,U,M,157,24%,0,$80.00,"$12,560.00",24%
DEFTONES-HOOD1033-L,north america leg 2 tour hoodie,Pullover Hoodie,U,L,207,31%,0,$80.00,"$16,560.00",31%
DEFTONES-HOOD1033-XL,north america leg 2 tour hoodie,Pullover Hoodie,U,XL,163,25%,0,$80.00,"$13,040.00",25%
DEFTONES-HOOD1033-XXL,north america leg 2 tour hoodie,Pullover Hoodie,U,2XL,88,13%,0,$80.00,"$7,040.00",13%
SUBTOTAL,north america leg 2 tour hoodie,Pullover Hoodie,U,"",659,9%,0,$80.00,"$52,720.00",14%

DEFTONES-HOOD1032-S,"BLACK, WIRES HOODIE",Pullover Hoodie,U,S,14,11%,0,$80.00,"$1,120.00",11%
DEFTONES-HOOD1032-M,"BLACK, WIRES HOODIE",Pullover Hoodie,U,M,27,21%,0,$80.00,"$2,160.00",21%
DEFTONES-HOOD1032-L,"BLACK, WIRES HOODIE",Pullover Hoodie,U,L,36,27%,0,$80.00,"$2,880.00",27%
DEFTONES-HOOD1032-XL,"BLACK, WIRES HOODIE",Pullover Hoodie,U,XL,33,25%,0,$80.00,"$2,640.00",25%
DEFTONES-HOOD1032-XXL,"BLACK, WIRES HOODIE",Pullover Hoodie,U,2XL,21,16%,0,$80.00,"$1,680.00",16%
SUBTOTAL,"BLACK, WIRES HOODIE",Pullover Hoodie,U,"",131,2%,0,$80.00,"$10,480.00",3%

DEFTONES-HOOD1027-S,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,S,50,9%,0,$80.00,"$4,000.00",9%
DEFTONES-HOOD1027-M,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,M,128,24%,0,$80.00,"$10,240.00",24%
DEFTONES-HOOD1027-L,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,L,142,26%,0,$80.00,"$11,360.00",26%
DEFTONES-HOOD1027-XL,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,XL,116,21%,0,$80.00,"$9,280.00",21%
DEFTONES-HOOD1027-XXL,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,2XL,106,20%,0,$80.00,"$8,480.00",20%
SUBTOTAL,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,"",542,7%,0,$80.00,"$43,360.00",11%

DEFTONES-HAT1003,DEFTONES black 2025 side rose hat,Hat,U,One-Size,203,100%,0,$45.00,"$9,135.00",100%
SUBTOTAL,DEFTONES black 2025 side rose hat,Hat,U,"",203,3%,0,$45.00,"$9,135.00",2%

TOTAL APPAREL,"","","","",6559,88%,20,"","$347,710.00",92%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
DEFTONES-POSTER1027,Tour poster leg two silver deftones ,Poster,"",,300,4%,0,$44.81,"$13,443.00",4%
DEFTONES-ACC1046,Skulls & Roses Tote ,Bag,"",,134,2%,1,$39.21,"$5,254.14",1%
DEFTONES-ACC1045,Skull & Roses Pin Set ,Pin,"",,171,2%,0,$22.41,"$3,832.11",1%
DEFTONES-ACC1047,2025 Tour Patch Set ,Patch,"",,96,1%,0,$16.80,"$1,612.80",0%

TOTAL OTHER,"","","","",701,9%,1,"","$24,142.05",6%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
DEFTONES-VIN1015,Private Music Clear Vinyl,Vinyl,"",,215,3%,0,$33.61,"$7,226.15",2%

TOTAL MUSIC,"","","","",215,3%,0,"","$7,226.15",2%

GRAND TOTAL,"","","","",7475,"",21,"","$379,078.20"
