APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-T1017-S,Balloon Arch Tee,T-Shirt,U,S,5,8%,2,$40.00,$200.00,8%
AIRS-T1017-M,Balloon Arch Tee,T-Shirt,U,M,13,22%,0,$40.00,$520.00,22%
AIRS-T1017-L,Balloon Arch Tee,T-Shirt,U,L,16,27%,0,$40.00,$640.00,27%
AIRS-T1017-XL,Balloon Arch Tee,T-Shirt,U,XL,17,28%,0,$40.00,$680.00,28%
AIRS-T1017-XXL,Balloon Arch Tee,T-Shirt,U,2XL,3,5%,0,$40.00,$120.00,5%
AIRS-T1017-3XL,Balloon Arch Tee,T-Shirt,U,3XL,6,10%,0,$40.00,$240.00,10%
SUBTOTAL,Balloon Arch Tee,T-Shirt,U,"",60,19%,2,$40.00,"$2,400.00",19%

AIRS-T1018-S,Jazzy Balloon Tee,T-Shirt,U,S,8,13%,0,$40.00,$320.00,13%
AIRS-T1018-M,Jazzy Balloon Tee,T-Shirt,U,M,15,23%,0,$40.00,$600.00,23%
AIRS-T1018-L,Jazzy Balloon Tee,T-Shirt,U,L,12,19%,0,$40.00,$480.00,19%
AIRS-T1018-XL,Jazzy Balloon Tee,T-Shirt,U,XL,16,25%,0,$40.00,$640.00,25%
AIRS-T1018-XXL,Jazzy Balloon Tee,T-Shirt,U,2XL,7,11%,0,$40.00,$280.00,11%
AIRS-T1018-3XL,Jazzy Balloon Tee,T-Shirt,U,3XL,6,9%,0,$40.00,$240.00,9%
SUBTOTAL,Jazzy Balloon Tee,T-Shirt,U,"",64,20%,0,$40.00,"$2,560.00",20%

AIRS-T1010-S,Est. 1975 Guitar T-Shirt,T-Shirt,M,S,7,13%,1,$40.00,$280.00,13%
AIRS-T1010-M,Est. 1975 Guitar T-Shirt,T-Shirt,M,M,8,15%,0,$40.00,$320.00,15%
AIRS-T1010-L,Est. 1975 Guitar T-Shirt,T-Shirt,M,L,14,26%,0,$40.00,$560.00,26%
AIRS-T1010-XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,XL,16,30%,1,$40.00,$640.00,30%
AIRS-T1010-XXL,Est. 1975 Guitar T-Shirt,T-Shirt,M,2XL,4,8%,1,$40.00,$160.00,8%
AIRS-T1010-3XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,3XL,4,8%,0,$40.00,$160.00,8%
SUBTOTAL,Est. 1975 Guitar T-Shirt,T-Shirt,M,"",53,17%,3,$40.00,"$2,120.00",17%

AIRS-T1016-S,Women's V-Neck T-Shirt,T-Shirt,F,S,1,3%,0,$40.00,$40.00,3%
AIRS-T1016-M,Women's V-Neck T-Shirt,T-Shirt,F,M,11,32%,0,$40.00,$440.00,32%
AIRS-T1016-L,Women's V-Neck T-Shirt,T-Shirt,F,L,9,26%,1,$40.00,$360.00,26%
AIRS-T1016-XL,Women's V-Neck T-Shirt,T-Shirt,F,XL,7,21%,0,$40.00,$280.00,21%
AIRS-T1016-XXL,Women's V-Neck T-Shirt,T-Shirt,F,2XL,6,18%,0,$40.00,$240.00,18%
SUBTOTAL,Women's V-Neck T-Shirt,T-Shirt,F,"",34,11%,1,$40.00,"$1,360.00",11%

AIRS-TOUR-HOOD1003-S,Balloon Arch Hoodie,Sweatshirt,U,S,4,31%,0,$75.00,$300.00,31%
AIRS-TOUR-HOOD1003-M,Balloon Arch Hoodie,Sweatshirt,U,M,2,15%,0,$75.00,$150.00,15%
AIRS-TOUR-HOOD1003-L,Balloon Arch Hoodie,Sweatshirt,U,L,2,15%,0,$75.00,$150.00,15%
AIRS-TOUR-HOOD1003-XL,Balloon Arch Hoodie,Sweatshirt,U,XL,3,23%,0,$75.00,$225.00,23%
AIRS-TOUR-HOOD1003-XXL,Balloon Arch Hoodie,Sweatshirt,U,2XL,0,0%,0,$0.00,$0.00,0%
AIRS-TOUR-HOOD1003-3XL,Balloon Arch Hoodie,Sweatshirt,U,3XL,2,15%,0,$75.00,$150.00,15%
SUBTOTAL,Balloon Arch Hoodie,Sweatshirt,U,"",13,4%,0,$75.00,$975.00,8%

AIRS-JACK1001-S,50th Anniversary Denim Jacket,Jacket,U,S,3,21%,0,$150.00,$450.00,21%
AIRS-JACK1001-M,50th Anniversary Denim Jacket,Jacket,U,M,3,21%,0,$150.00,$450.00,21%
AIRS-JACK1001-L,50th Anniversary Denim Jacket,Jacket,U,L,2,14%,0,$150.00,$300.00,14%
AIRS-JACK1001-XL,50th Anniversary Denim Jacket,Jacket,U,XL,4,29%,0,$150.00,$600.00,29%
AIRS-JACK1001-XXL,50th Anniversary Denim Jacket,Jacket,U,2XL,2,14%,0,$150.00,$300.00,14%
SUBTOTAL,50th Anniversary Denim Jacket,Jacket,U,"",14,4%,0,$150.00,"$2,100.00",17%

TOTAL APPAREL,"","","","",238,76%,6,"","$11,515.00",91%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-ACC1008,Distressed Logo Tote,Bag,"",,16,5%,1,$30.00,$480.00,4%
AIRS-ACC1009,Jazzy Balloon Magnet,Magnet,"",,42,13%,1,$10.00,$420.00,3%
AIRS-TOUR-ACC1001,Red Logo Lanyards '24,Lanyard,"",,18,6%,1,$10.00,$180.00,1%
AIRS-ACC1005,Logo Bandana 24',Bandana,"",,0,0%,0,$0.00,$0.00,0%
AIRS-ACC1006,KOALA MAGNET 24',Accessories,"",,0,0%,0,$0.00,$0.00,0%

TOTAL OTHER,"","","","",76,24%,3,"","$1,080.00",9%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total

TOTAL MUSIC,"","","","",0,0%,0,"",$0.00,0%

GRAND TOTAL,"","","","",314,"",9,"","$12,595.00"
