APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
DEFTONES-T1081-S,North america leg 2 tour t-shirt,T-Shirt,U,S,231,10%,0,$57.38,"$13,255.02",10%
DEFTONES-T1081-M,North america leg 2 tour t-shirt,T-Shirt,U,M,601,26%,0,$57.38,"$34,486.00",26%
DEFTONES-T1081-L,North america leg 2 tour t-shirt,T-Shirt,U,L,795,34%,0,$57.38,"$45,617.93",34%
DEFTONES-T1081-XL,North america leg 2 tour t-shirt,T-Shirt,U,XL,482,21%,0,$57.38,"$27,657.66",21%
DEFTONES-T1081-XXL,North america leg 2 tour t-shirt,T-Shirt,U,2XL,199,9%,0,$57.38,"$11,418.83",9%
SUBTOTAL,North america leg 2 tour t-shirt,T-Shirt,U,"",2308,12%,0,$57.38,"$132,435.44",11%

DEFTONES-T1082-S,"KHAKI, SCORPION TEE	",T-Shirt,U,S,201,10%,0,$57.38,"$11,533.59",10%
DEFTONES-T1082-M,"KHAKI, SCORPION TEE	",T-Shirt,U,M,510,25%,0,$57.38,"$29,264.33",25%
DEFTONES-T1082-L,"KHAKI, SCORPION TEE	",T-Shirt,U,L,744,36%,1,$57.38,"$42,691.49",36%
DEFTONES-T1082-XL,"KHAKI, SCORPION TEE	",T-Shirt,U,XL,473,23%,0,$57.38,"$27,141.23",23%
DEFTONES-T1082-XXL,"KHAKI, SCORPION TEE	",T-Shirt,U,2XL,147,7%,0,$57.38,"$8,435.01",7%
SUBTOTAL,"KHAKI, SCORPION TEE	",T-Shirt,U,"",2075,11%,1,$57.38,"$119,065.65",10%

DEFTONES-T1083-S,Band photo t-shirt,T-Shirt,U,S,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1083-M,Band photo t-shirt,T-Shirt,U,M,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1083-L,Band photo t-shirt,T-Shirt,U,L,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1083-XL,Band photo t-shirt,T-Shirt,U,XL,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1083-XXL,Band photo t-shirt,T-Shirt,U,2XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Band photo t-shirt,T-Shirt,U,"",0,0%,0,$0.00,$0.00,0%

DEFTONES-T1084-S,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,S,219,14%,0,$57.38,"$12,566.45",14%
DEFTONES-T1084-M,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,M,388,26%,0,$57.38,"$22,263.84",26%
DEFTONES-T1084-L,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,L,430,28%,0,$57.38,"$24,673.85",28%
DEFTONES-T1084-XL,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,XL,377,25%,0,$57.38,"$21,632.65",25%
DEFTONES-T1084-XXL,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,2XL,102,7%,0,$57.38,"$5,852.87",7%
SUBTOTAL,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,"",1516,8%,0,$57.38,"$86,989.65",7%

DEFTONES-T1085-S,Silhouette t-shirt,T-Shirt,U,S,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1085-M,Silhouette t-shirt,T-Shirt,U,M,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1085-L,Silhouette t-shirt,T-Shirt,U,L,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1085-XL,Silhouette t-shirt,T-Shirt,U,XL,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1085-XXL,Silhouette t-shirt,T-Shirt,U,2XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Silhouette t-shirt,T-Shirt,U,"",0,0%,0,$0.00,$0.00,0%

DEFTONES-T1087-S,"WHITE, WIRES T-SHIRT",T-Shirt,U,S,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1087-M,"WHITE, WIRES T-SHIRT",T-Shirt,U,M,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1087-L,"WHITE, WIRES T-SHIRT",T-Shirt,U,L,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1087-XL,"WHITE, WIRES T-SHIRT",T-Shirt,U,XL,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1087-XXL,"WHITE, WIRES T-SHIRT",T-Shirt,U,2XL,0,0%,0,$0.00,$0.00,0%
