APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
DEFTONES-T1081-S,North america leg 2 tour t-shirt,T-Shirt,U,S,243,13%,0,$49.49,"$12,026.07",13%
DEFTONES-T1081-M,North america leg 2 tour t-shirt,T-Shirt,U,M,446,24%,3,$49.49,"$22,072.54",24%
DEFTONES-T1081-L,North america leg 2 tour t-shirt,T-Shirt,U,L,525,28%,3,$49.49,"$25,982.25",28%
DEFTONES-T1081-XL,North america leg 2 tour t-shirt,T-Shirt,U,XL,419,23%,0,$49.49,"$20,736.31",23%
DEFTONES-T1081-XXL,North america leg 2 tour t-shirt,T-Shirt,U,2XL,225,12%,0,$49.49,"$11,135.25",12%
SUBTOTAL,North america leg 2 tour t-shirt,T-Shirt,U,"",1858,23%,6,$49.49,"$91,952.42",20%

DEFTONES-T1082-S,"KHAKI, SCORPION TEE	",T-Shirt,U,S,123,14%,0,$49.49,"$6,087.27",14%
DEFTONES-T1082-M,"KHAKI, SCORPION TEE	",T-Shirt,U,M,217,25%,0,$49.49,"$10,739.33",25%
DEFTONES-T1082-L,"KHAKI, SCORPION TEE	",T-Shirt,U,L,246,28%,0,$49.49,"$12,174.54",28%
DEFTONES-T1082-XL,"KHAKI, SCORPION TEE	",T-Shirt,U,XL,138,16%,0,$49.49,"$6,829.62",16%
DEFTONES-T1082-XXL,"KHAKI, SCORPION TEE	",T-Shirt,U,2XL,156,18%,0,$49.49,"$7,720.44",18%
SUBTOTAL,"KHAKI, SCORPION TEE	",T-Shirt,U,"",880,11%,0,$49.49,"$43,551.20",10%

DEFTONES-T1083-S,Band photo t-shirt,T-Shirt,U,S,39,12%,0,$49.49,"$1,930.11",12%
DEFTONES-T1083-M,Band photo t-shirt,T-Shirt,U,M,95,30%,0,$49.49,"$4,701.55",30%
DEFTONES-T1083-L,Band photo t-shirt,T-Shirt,U,L,75,24%,0,$49.49,"$3,711.75",24%
DEFTONES-T1083-XL,Band photo t-shirt,T-Shirt,U,XL,67,21%,0,$49.49,"$3,315.83",21%
DEFTONES-T1083-XXL,Band photo t-shirt,T-Shirt,U,2XL,37,12%,2,$49.49,"$1,831.13",12%
SUBTOTAL,Band photo t-shirt,T-Shirt,U,"",313,4%,2,$49.49,"$15,490.37",3%

DEFTONES-T1084-S,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,S,118,22%,0,$49.49,"$5,839.82",22%
DEFTONES-T1084-M,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,M,102,19%,1,$49.49,"$5,047.98",19%
DEFTONES-T1084-L,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,L,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1084-XL,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,XL,164,31%,0,$49.49,"$8,116.36",31%
DEFTONES-T1084-XXL,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,2XL,148,28%,0,$49.49,"$7,324.52",28%
SUBTOTAL,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,"",532,7%,1,$49.49,"$26,328.68",6%

DEFTONES-T1085-S,Silhouette t-shirt,T-Shirt,U,S,38,13%,1,$49.49,"$1,880.62",13%
DEFTONES-T1085-M,Silhouette t-shirt,T-Shirt,U,M,136,45%,1,$49.49,"$6,730.64",45%
DEFTONES-T1085-L,Silhouette t-shirt,T-Shirt,U,L,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1085-XL,Silhouette t-shirt,T-Shirt,U,XL,101,34%,0,$49.49,"$4,998.49",34%
DEFTONES-T1085-XXL,Silhouette t-shirt,T-Shirt,U,2XL,25,8%,1,$49.49,"$1,237.25",8%
SUBTOTAL,Silhouette t-shirt,T-Shirt,U,"",300,4%,3,$49.49,"$14,847.00",3%

DEFTONES-T1087-S,"WHITE, WIRES T-SHIRT",T-Shirt,U,S,36,13%,0,$49.49,"$1,781.64",13%
DEFTONES-T1087-M,"WHITE, WIRES T-SHIRT",T-Shirt,U,M,95,33%,2,$49.49,"$4,701.55",33%
DEFTONES-T1087-L,"WHITE, WIRES T-SHIRT",T-Shirt,U,L,86,30%,0,$49.49,"$4,256.14",30%
DEFTONES-T1087-XL,"WHITE, WIRES T-SHIRT",T-Shirt,U,XL,56,20%,1,$49.49,"$2,771.44",20%
DEFTONES-T1087-XXL,"WHITE, WIRES T-SHIRT",T-Shirt,U,2XL,11,4%,0,$49.49,$544.39,4%
SUBTOTAL,"WHITE, WIRES T-SHIRT",T-Shirt,U,"",284,3%,3,$49.49,"$14,055.16",3%

DEFTONES-T1088-S,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,S,74,30%,0,$49.49,"$3,662.26",30%
DEFTONES-T1088-M,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,M,4,2%,1,$49.49,$197.96,2%
DEFTONES-T1088-L,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,L,5,2%,0,$49.49,$247.45,2%
DEFTONES-T1088-XL,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,XL,113,46%,1,$49.49,"$5,592.37",46%
DEFTONES-T1088-XXL,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,2XL,51,21%,0,$49.49,"$2,523.99",21%
SUBTOTAL,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,"",247,3%,2,$49.49,"$12,224.03",3%

DEFTONES-T10846-S,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,S,91,12%,0,$49.49,"$4,503.59",12%
DEFTONES-T10846-M,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,M,220,30%,1,$49.49,"$10,887.80",30%
DEFTONES-T10846-L,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,L,123,17%,0,$49.49,"$6,087.27",17%
DEFTONES-T10846-XL,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,XL,195,27%,0,$49.49,"$9,650.55",27%
DEFTONES-T10846-XXL,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,2XL,101,14%,1,$49.49,"$4,998.49",14%
SUBTOTAL,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,"",730,9%,2,$49.49,"$36,127.70",8%

DEFTONES-T1089-S,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,S,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1089-M,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,M,0,0%,0,$0.00,$0.00,0%
DEFTONES-T1089-L,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,L,25,19%,1,$49.49,"$1,237.25",19%
DEFTONES-T1089-XL,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,XL,71,55%,0,$49.49,"$3,513.79",55%
DEFTONES-T1089-XXL,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,2XL,33,26%,0,$49.49,"$1,633.17",26%
SUBTOTAL,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,"",129,2%,1,$49.49,"$6,384.21",1%

DEFTONES-LS1016-S,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,S,16,11%,0,$76.98,"$1,231.68",11%
DEFTONES-LS1016-M,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,M,44,29%,1,$76.98,"$3,387.12",29%
DEFTONES-LS1016-L,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,L,44,29%,0,$76.98,"$3,387.12",29%
DEFTONES-LS1016-XL,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,XL,32,21%,0,$76.98,"$2,463.36",21%
DEFTONES-LS1016-XXL,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,2XL,14,9%,1,$76.98,"$1,077.72",9%
SUBTOTAL,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,"",150,2%,2,$76.98,"$11,547.00",3%

DEFTONES-SHORTS1005-S,deftones snake shorts ,Shorts,U,S,0,0%,0,$0.00,$0.00,0%
DEFTONES-SHORTS1005-M,deftones snake shorts ,Shorts,U,M,2,3%,2,$65.99,$131.98,3%
DEFTONES-SHORTS1005-L,deftones snake shorts ,Shorts,U,L,37,47%,3,$65.99,"$2,441.63",47%
DEFTONES-SHORTS1005-XL,deftones snake shorts ,Shorts,U,XL,33,42%,0,$65.99,"$2,177.67",42%
DEFTONES-SHORTS1005-XXL,deftones snake shorts ,Shorts,U,2XL,6,8%,5,$65.99,$395.94,8%
SUBTOTAL,deftones snake shorts ,Shorts,U,"",78,1%,10,$65.99,"$5,147.22",1%

DEFTONES-HOOD1033-S,north america leg 2 tour hoodie,Pullover Hoodie,U,S,86,10%,0,$87.98,"$7,566.28",10%
DEFTONES-HOOD1033-M,north america leg 2 tour hoodie,Pullover Hoodie,U,M,188,23%,1,$87.98,"$16,540.24",23%
DEFTONES-HOOD1033-L,north america leg 2 tour hoodie,Pullover Hoodie,U,L,249,30%,0,$87.98,"$21,907.02",30%
DEFTONES-HOOD1033-XL,north america leg 2 tour hoodie,Pullover Hoodie,U,XL,213,26%,0,$87.98,"$18,739.74",26%
DEFTONES-HOOD1033-XXL,north america leg 2 tour hoodie,Pullover Hoodie,U,2XL,92,11%,2,$87.98,"$8,094.16",11%
SUBTOTAL,north america leg 2 tour hoodie,Pullover Hoodie,U,"",828,10%,3,$87.98,"$72,847.44",16%

DEFTONES-HOOD1032-S,"BLACK, WIRES HOODIE",Pullover Hoodie,U,S,17,11%,0,$87.98,"$1,495.66",11%
DEFTONES-HOOD1032-M,"BLACK, WIRES HOODIE",Pullover Hoodie,U,M,41,27%,0,$87.98,"$3,607.18",27%
DEFTONES-HOOD1032-L,"BLACK, WIRES HOODIE",Pullover Hoodie,U,L,39,25%,1,$87.98,"$3,431.22",25%
DEFTONES-HOOD1032-XL,"BLACK, WIRES HOODIE",Pullover Hoodie,U,XL,40,26%,0,$87.98,"$3,519.20",26%
DEFTONES-HOOD1032-XXL,"BLACK, WIRES HOODIE",Pullover Hoodie,U,2XL,17,11%,1,$87.98,"$1,495.66",11%
SUBTOTAL,"BLACK, WIRES HOODIE",Pullover Hoodie,U,"",154,2%,2,$87.98,"$13,548.92",3%

DEFTONES-HOOD1027-S,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,S,47,9%,0,$87.98,"$4,135.06",9%
DEFTONES-HOOD1027-M,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,M,127,24%,0,$87.98,"$11,173.46",24%
DEFTONES-HOOD1027-L,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,L,143,27%,0,$87.98,"$12,581.14",27%
DEFTONES-HOOD1027-XL,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,XL,151,29%,0,$87.98,"$13,284.98",29%
DEFTONES-HOOD1027-XXL,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,2XL,58,11%,0,$87.98,"$5,102.84",11%
DEFTONES-HOOD1027-3XL,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,3XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Graffiti Eyes Grape Ice Hoodie,Pullover Hoodie,U,"",526,6%,0,$87.98,"$46,277.48",10%

DEFTONES-HAT1003,DEFTONES black 2025 side rose hat,Hat,U,One-Size,243,100%,3,$49.49,"$12,026.07",100%
SUBTOTAL,DEFTONES black 2025 side rose hat,Hat,U,"",243,3%,3,$49.49,"$12,026.07",3%

TOTAL APPAREL,"","","","",7252,89%,40,"","$422,354.90",93%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
DEFTONES-POSTER1027,Tour poster leg two silver deftones ,Poster,"",,305,4%,1,$43.99,"$13,416.95",3%
DEFTONES-ACC1046,Skulls & Roses Tote ,Bag,"",,195,2%,2,$38.49,"$7,505.55",2%
DEFTONES-ACC1045,Skull & Roses Pin Set ,Pin,"",,155,2%,0,$22.00,"$3,410.00",1%
DEFTONES-ACC1047,2025 Tour Patch Set ,Patch,"",,88,1%,0,$16.50,"$1,452.00",0%

TOTAL OTHER,"","","","",743,9%,3,"","$25,784.50",6%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
DEFTONES-VIN1015,Private Music Clear Vinyl,Vinyl,"",,164,2%,0,$32.99,"$5,410.36",1%

TOTAL MUSIC,"","","","",164,2%,0,"","$5,410.36",1%

GRAND TOTAL,"","","","",8159,"",43,"","$453,549.76"
