APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
JELROL-T10079-S,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,S,118,6%,0,$50.45,"$5,953.10",6%
JELROL-T10079-M,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,M,325,17%,0,$50.45,"$16,396.25",17%
JELROL-T10079-L,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,L,485,26%,0,$50.45,"$24,468.25",26%
JELROL-T10079-XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,XL,478,25%,0,$50.45,"$24,115.10",25%
JELROL-T10079-XXL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,2XL,301,16%,0,$50.45,"$15,185.45",16%
JELROL-T10079-3XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,3XL,169,9%,0,$50.45,"$8,526.05",9%
SUBTOTAL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,"",1876,33%,0,$50.45,"$94,644.20",36%

JELROL-T10080-S,Beautifully Broken Face Tee,T-Shirt,U,S,90,7%,0,$50.45,"$4,540.50",7%
JELROL-T10080-M,Beautifully Broken Face Tee,T-Shirt,U,M,278,21%,0,$50.45,"$14,025.10",21%
JELROL-T10080-L,Beautifully Broken Face Tee,T-Shirt,U,L,347,26%,0,$50.45,"$17,506.15",26%
JELROL-T10080-XL,Beautifully Broken Face Tee,T-Shirt,U,XL,337,26%,0,$50.45,"$17,001.65",26%
JELROL-T10080-XXL,Beautifully Broken Face Tee,T-Shirt,U,2XL,203,15%,0,$50.45,"$10,241.35",15%
JELROL-T10080-3XL,Beautifully Broken Face Tee,T-Shirt,U,3XL,64,5%,0,$50.45,"$3,228.80",5%
SUBTOTAL,Beautifully Broken Face Tee,T-Shirt,U,"",1319,23%,0,$50.45,"$66,543.55",25%

JELROL-T10081-S,DREAMS DONT DIE TEE,T-Shirt,U,S,90,15%,0,$50.45,"$4,540.50",15%
JELROL-T10081-M,DREAMS DONT DIE TEE,T-Shirt,U,M,133,22%,0,$50.45,"$6,709.85",22%
JELROL-T10081-L,DREAMS DONT DIE TEE,T-Shirt,U,L,123,21%,0,$50.45,"$6,205.35",21%
JELROL-T10081-XL,DREAMS DONT DIE TEE,T-Shirt,U,XL,126,21%,0,$50.45,"$6,356.70",21%
JELROL-T10081-XXL,DREAMS DONT DIE TEE,T-Shirt,U,2XL,84,14%,0,$50.45,"$4,237.80",14%
JELROL-T10081-3XL,DREAMS DONT DIE TEE,T-Shirt,U,3XL,43,7%,0,$50.45,"$2,169.35",7%
