APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
JELROL-T10079-S,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,S,120,10%,0,$49.85,"$5,982.00",10%
JELROL-T10079-M,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,M,244,21%,0,$49.85,"$12,163.40",21%
JELROL-T10079-L,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,L,238,21%,0,$49.85,"$11,864.30",21%
JELROL-T10079-XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,XL,246,21%,0,$49.85,"$12,263.10",21%
JELROL-T10079-XXL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,2XL,178,15%,0,$49.85,"$8,873.30",15%
JELROL-T10079-3XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,3XL,133,11%,0,$49.85,"$6,630.05",11%
SUBTOTAL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,"",1159,25%,0,$49.85,"$57,776.15",24%

JELROL-T10080-S,Beautifully Broken Face Tee,T-Shirt,U,S,66,7%,0,$49.85,"$3,290.10",7%
JELROL-T10080-M,Beautifully Broken Face Tee,T-Shirt,U,M,142,15%,0,$49.85,"$7,078.70",15%
JELROL-T10080-L,Beautifully Broken Face Tee,T-Shirt,U,L,242,25%,0,$49.85,"$12,063.70",25%
JELROL-T10080-XL,Beautifully Broken Face Tee,T-Shirt,U,XL,244,26%,0,$49.85,"$12,163.40",26%
JELROL-T10080-XXL,Beautifully Broken Face Tee,T-Shirt,U,2XL,185,19%,0,$49.85,"$9,222.25",19%
JELROL-T10080-3XL,Beautifully Broken Face Tee,T-Shirt,U,3XL,71,7%,0,$49.85,"$3,539.35",7%
SUBTOTAL,Beautifully Broken Face Tee,T-Shirt,U,"",950,20%,0,$49.85,"$47,357.50",20%

JELROL-T10081-S,DREAMS DONT DIE TEE,T-Shirt,U,S,87,14%,0,$49.85,"$4,336.95",14%
JELROL-T10081-M,DREAMS DONT DIE TEE,T-Shirt,U,M,140,22%,0,$49.85,"$6,979.00",22%
JELROL-T10081-L,DREAMS DONT DIE TEE,T-Shirt,U,L,156,24%,0,$49.85,"$7,776.60",24%
JELROL-T10081-XL,DREAMS DONT DIE TEE,T-Shirt,U,XL,147,23%,0,$49.85,"$7,327.95",23%
JELROL-T10081-XXL,DREAMS DONT DIE TEE,T-Shirt,U,2XL,107,17%,0,$49.85,"$5,333.95",17%
JELROL-T10081-3XL,DREAMS DONT DIE TEE,T-Shirt,U,3XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,DREAMS DONT DIE TEE,T-Shirt,U,"",637,14%,0,$49.85,"$31,754.45",13%

JELROL-T10082-S,EAGLE TEE,T-Shirt,U,S,111,13%,0,$49.85,"$5,533.35",13%
