APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
DEFTONES-T1081-S,North america leg 2 tour t-shirt,T-Shirt,U,S,117,9%,0,$48.56,"$5,681.52",9%
DEFTONES-T1081-M,North america leg 2 tour t-shirt,T-Shirt,U,M,364,27%,0,$48.56,"$17,675.84",27%
DEFTONES-T1081-L,North america leg 2 tour t-shirt,T-Shirt,U,L,387,29%,0,$48.56,"$18,792.72",29%
DEFTONES-T1081-XL,North america leg 2 tour t-shirt,T-Shirt,U,XL,320,24%,0,$48.56,"$15,539.20",24%
DEFTONES-T1081-XXL,North america leg 2 tour t-shirt,T-Shirt,U,2XL,156,12%,0,$48.56,"$7,575.36",12%
SUBTOTAL,North america leg 2 tour t-shirt,T-Shirt,U,"",1344,19%,0,$48.56,"$65,264.64",17%

DEFTONES-T1082-S,"KHAKI, SCORPION TEE	",T-Shirt,U,S,82,11%,0,$48.56,"$3,981.92",11%
DEFTONES-T1082-M,"KHAKI, SCORPION TEE	",T-Shirt,U,M,191,25%,0,$48.56,"$9,274.96",25%
DEFTONES-T1082-L,"KHAKI, SCORPION TEE	",T-Shirt,U,L,222,29%,0,$48.56,"$10,780.32",29%
DEFTONES-T1082-XL,"KHAKI, SCORPION TEE	",T-Shirt,U,XL,160,21%,0,$48.56,"$7,769.60",21%
DEFTONES-T1082-XXL,"KHAKI, SCORPION TEE	",T-Shirt,U,2XL,99,13%,0,$48.56,"$4,807.44",13%
SUBTOTAL,"KHAKI, SCORPION TEE	",T-Shirt,U,"",754,11%,0,$48.56,"$36,614.24",9%

DEFTONES-T1083-S,Band photo t-shirt,T-Shirt,U,S,22,8%,0,$48.56,"$1,068.32",8%
DEFTONES-T1083-M,Band photo t-shirt,T-Shirt,U,M,88,32%,0,$48.56,"$4,273.28",32%
DEFTONES-T1083-L,Band photo t-shirt,T-Shirt,U,L,77,28%,0,$48.56,"$3,739.12",28%
DEFTONES-T1083-XL,Band photo t-shirt,T-Shirt,U,XL,74,27%,0,$48.56,"$3,593.44",27%
DEFTONES-T1083-XXL,Band photo t-shirt,T-Shirt,U,2XL,13,5%,0,$48.56,$631.28,5%
SUBTOTAL,Band photo t-shirt,T-Shirt,U,"",274,4%,0,$48.56,"$13,305.44",3%

DEFTONES-T1084-S,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,S,104,14%,0,$48.56,"$5,050.24",14%
DEFTONES-T1084-M,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,M,215,28%,0,$48.56,"$10,440.40",28%
