APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
GAR-T2022-S,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,S,11,6%,0,$40.00,$440.00,6%
GAR-T2022-M,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,M,44,24%,0,$40.00,"$1,760.00",24%
GAR-T2022-L,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,L,45,25%,0,$40.00,"$1,800.00",25%
GAR-T2022-XL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,XL,46,25%,0,$40.00,"$1,840.00",25%
GAR-T2022-XXL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,2XL,35,19%,0,$40.00,"$1,400.00",19%
SUBTOTAL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,"",181,26%,0,$40.00,"$7,240.00",28%

GAR-T2021-S,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,S,13,10%,0,$40.00,$520.00,10%
GAR-T2021-M,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,M,32,26%,0,$40.00,"$1,280.00",26%
GAR-T2021-L,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,L,36,29%,0,$40.00,"$1,440.00",29%
GAR-T2021-XL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,XL,26,21%,0,$40.00,"$1,040.00",21%
GAR-T2021-XXL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,2XL,18,14%,0,$40.00,$720.00,14%
SUBTOTAL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,"",125,18%,0,$40.00,"$5,000.00",20%

GAR-T2024-S,Shirley Lightning Face T-Shirt ,T-Shirt,U,S,5,8%,0,$40.00,$200.00,8%
GAR-T2024-M,Shirley Lightning Face T-Shirt ,T-Shirt,U,M,24,37%,0,$40.00,$960.00,37%
GAR-T2024-L,Shirley Lightning Face T-Shirt ,T-Shirt,U,L,8,12%,0,$40.00,$320.00,12%
GAR-T2024-XL,Shirley Lightning Face T-Shirt ,T-Shirt,U,XL,15,23%,0,$40.00,$600.00,23%
GAR-T2024-XXL,Shirley Lightning Face T-Shirt ,T-Shirt,U,2XL,13,20%,0,$40.00,$520.00,20%
SUBTOTAL,Shirley Lightning Face T-Shirt ,T-Shirt,U,"",65,9%,0,$40.00,"$2,600.00",10%

GAR-T2023-S,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,S,8,8%,0,$40.00,$320.00,8%
GAR-T2023-M,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,M,26,26%,0,$40.00,"$1,040.00",26%
GAR-T2023-L,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,L,21,21%,0,$40.00,$840.00,21%
GAR-T2023-XL,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,XL,27,27%,0,$40.00,"$1,080.00",27%
GAR-T2023-XXL,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,2XL,19,19%,0,$40.00,$760.00,19%
SUBTOTAL,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,"",101,15%,0,$40.00,"$4,040.00",16%

GAR-HOOD1012-S,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,S,0,0%,0,$0.00,$0.00,0%
GAR-HOOD1012-M,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,M,7,20%,0,$70.00,$490.00,20%
GAR-HOOD1012-L,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,L,9,26%,0,$70.00,$630.00,26%
GAR-HOOD1012-XL,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,XL,9,26%,0,$70.00,$630.00,26%
GAR-HOOD1012-XXL,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,2XL,10,29%,0,$70.00,$700.00,29%
SUBTOTAL,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,"",35,5%,0,$70.00,"$2,450.00",10%

GAR-ACC1064,Octopus Hat,Hat,U,One-Size,22,100%,0,$35.00,$770.00,100%
SUBTOTAL,Octopus Hat,Hat,U,"",22,3%,0,$35.00,$770.00,3%

TOTAL APPAREL,"","","","",529,76%,0,"","$22,100.00",87%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
GAR-ACC1066,Garbage Band Photo Tote,Bag,"",,30,4%,0,$30.00,$900.00,4%
GAR-ACC1065,2025 North American Tour Poster ,Poster,"",,63,9%,0,$15.00,$945.00,4%
GAR-ACC1063,Octopus Keychain,Keychain,"",,44,6%,0,$15.00,$660.00,3%

TOTAL OTHER,"","","","",137,20%,0,"","$2,505.00",10%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
GAR-VIN1008,Vinyl Let All That We Imagine Be The Light,Vinyl,"",,29,4%,0,$30.00,$870.00,3%

TOTAL MUSIC,"","","","",29,4%,0,"",$870.00,3%

GRAND TOTAL,"","","","",695,"",0,"","$25,475.00"
