APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-T1017-S,Balloon Arch Tee,T-Shirt,U,S,3,10%,0,$40.00,$120.00,10%
AIRS-T1017-M,Balloon Arch Tee,T-Shirt,U,M,6,21%,0,$40.00,$240.00,21%
AIRS-T1017-L,Balloon Arch Tee,T-Shirt,U,L,9,31%,0,$40.00,$360.00,31%
AIRS-T1017-XL,Balloon Arch Tee,T-Shirt,U,XL,3,10%,1,$40.00,$120.00,10%
AIRS-T1017-XXL,Balloon Arch Tee,T-Shirt,U,2XL,2,7%,0,$40.00,$80.00,7%
AIRS-T1017-3XL,Balloon Arch Tee,T-Shirt,U,3XL,6,21%,1,$40.00,$240.00,21%
SUBTOTAL,Balloon Arch Tee,T-Shirt,U,"",29,22%,2,$40.00,"$1,160.00",23%

AIRS-T1018-S,Jazzy Balloon Tee,T-Shirt,U,S,1,3%,0,$40.00,$40.00,3%
AIRS-T1018-M,Jazzy Balloon Tee,T-Shirt,U,M,3,9%,0,$40.00,$120.00,9%
AIRS-T1018-L,Jazzy Balloon Tee,T-Shirt,U,L,5,14%,0,$40.00,$200.00,14%
AIRS-T1018-XL,Jazzy Balloon Tee,T-Shirt,U,XL,12,34%,1,$40.00,$480.00,34%
AIRS-T1018-XXL,Jazzy Balloon Tee,T-Shirt,U,2XL,9,26%,0,$40.00,$360.00,26%
AIRS-T1018-3XL,Jazzy Balloon Tee,T-Shirt,U,3XL,5,14%,0,$40.00,$200.00,14%
SUBTOTAL,Jazzy Balloon Tee,T-Shirt,U,"",35,27%,1,$40.00,"$1,400.00",28%

AIRS-T1010-S,Est. 1975 Guitar T-Shirt,T-Shirt,M,S,2,10%,0,$40.00,$80.00,10%
AIRS-T1010-M,Est. 1975 Guitar T-Shirt,T-Shirt,M,M,0,0%,0,$0.00,$0.00,0%
AIRS-T1010-L,Est. 1975 Guitar T-Shirt,T-Shirt,M,L,5,24%,0,$40.00,$200.00,24%
AIRS-T1010-XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,XL,7,33%,0,$40.00,$280.00,33%
AIRS-T1010-XXL,Est. 1975 Guitar T-Shirt,T-Shirt,M,2XL,4,19%,0,$40.00,$160.00,19%
AIRS-T1010-3XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,3XL,3,14%,0,$40.00,$120.00,14%
SUBTOTAL,Est. 1975 Guitar T-Shirt,T-Shirt,M,"",21,16%,0,$40.00,$840.00,17%

AIRS-T1016-S,Women's V-Neck T-Shirt,T-Shirt,F,S,1,8%,0,$40.00,$40.00,8%
