APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
JELROL-T10079-S,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,S,99,10%,0,$50.72,"$5,021.28",10%
JELROL-T10079-M,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,M,171,18%,0,$50.72,"$8,673.12",18%
JELROL-T10079-L,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,L,214,23%,0,$50.72,"$10,854.08",23%
JELROL-T10079-XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,XL,279,30%,0,$50.72,"$14,150.88",30%
JELROL-T10079-XXL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,2XL,115,12%,0,$50.72,"$5,832.80",12%
JELROL-T10079-3XL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,3XL,66,7%,0,$50.72,"$3,347.52",7%
SUBTOTAL,BEAUTIFULLY BROKEN SINGING TEE,T-Shirt,U,"",944,25%,0,$50.72,"$47,879.68",24%

JELROL-T10080-S,Beautifully Broken Face Tee,T-Shirt,U,S,63,13%,0,$50.72,"$3,195.36",13%
JELROL-T10080-M,Beautifully Broken Face Tee,T-Shirt,U,M,91,18%,0,$50.72,"$4,615.52",18%
JELROL-T10080-L,Beautifully Broken Face Tee,T-Shirt,U,L,150,30%,0,$50.72,"$7,608.00",30%
JELROL-T10080-XL,Beautifully Broken Face Tee,T-Shirt,U,XL,105,21%,0,$50.72,"$5,325.60",21%
JELROL-T10080-XXL,Beautifully Broken Face Tee,T-Shirt,U,2XL,56,11%,0,$50.72,"$2,840.32",11%
JELROL-T10080-3XL,Beautifully Broken Face Tee,T-Shirt,U,3XL,38,8%,0,$50.72,"$1,927.36",8%
SUBTOTAL,Beautifully Broken Face Tee,T-Shirt,U,"",503,13%,0,$50.72,"$25,512.16",13%

JELROL-T10081-S,DREAMS DONT DIE TEE,T-Shirt,U,S,61,13%,0,$50.72,"$3,093.92",13%
JELROL-T10081-M,DREAMS DONT DIE TEE,T-Shirt,U,M,111,23%,0,$50.72,"$5,629.92",23%
JELROL-T10081-L,DREAMS DONT DIE TEE,T-Shirt,U,L,129,27%,0,$50.72,"$6,542.88",27%
JELROL-T10081-XL,DREAMS DONT DIE TEE,T-Shirt,U,XL,41,9%,0,$50.72,"$2,079.52",9%
JELROL-T10081-XXL,DREAMS DONT DIE TEE,T-Shirt,U,2XL,122,25%,0,$50.72,"$6,187.84",25%
JELROL-T10081-3XL,DREAMS DONT DIE TEE,T-Shirt,U,3XL,18,4%,0,$50.72,$912.96,4%
SUBTOTAL,DREAMS DONT DIE TEE,T-Shirt,U,"",482,13%,0,$50.72,"$24,447.04",12%

JELROL-T10082-S,EAGLE TEE,T-Shirt,U,S,49,13%,0,$50.72,"$2,485.28",13%
JELROL-T10082-M,EAGLE TEE,T-Shirt,U,M,88,24%,0,$50.72,"$4,463.36",24%
JELROL-T10082-L,EAGLE TEE,T-Shirt,U,L,113,30%,0,$50.72,"$5,731.36",30%
JELROL-T10082-XL,EAGLE TEE,T-Shirt,U,XL,87,23%,0,$50.72,"$4,412.64",23%
JELROL-T10082-XXL,EAGLE TEE,T-Shirt,U,2XL,29,8%,0,$50.72,"$1,470.88",8%
JELROL-T10082-3XL,EAGLE TEE,T-Shirt,U,3XL,7,2%,0,$50.72,$355.04,2%
SUBTOTAL,EAGLE TEE,T-Shirt,U,"",373,10%,0,$50.72,"$18,918.56",10%

"",Anarchy Hoodie - TOUR,Pullover Hoodie,U,S,69,14%,0,$111.35,"$7,683.15",14%
"",Anarchy Hoodie - TOUR,Pullover Hoodie,U,M,94,19%,0,$111.35,"$10,466.90",19%
"",Anarchy Hoodie - TOUR,Pullover Hoodie,U,L,107,22%,0,$111.35,"$11,914.45",22%
"",Anarchy Hoodie - TOUR,Pullover Hoodie,U,XL,119,24%,0,$111.35,"$13,250.65",24%
"",Anarchy Hoodie - TOUR,Pullover Hoodie,U,2XL,106,21%,1,$111.35,"$11,803.10",21%
"",Anarchy Hoodie - TOUR,Pullover Hoodie,U,3XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Anarchy Hoodie - TOUR,Pullover Hoodie,U,"",495,13%,1,$111.35,"$55,118.25",28%

TOTAL APPAREL,"","","","",2797,74%,1,"","$171,875.69",87%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
JELROL-HAT2006,Distressed Denim Hat,Hat - Other,U,,287,8%,0,$50.72,"$14,556.64",7%
JELROL-ACC1048,Tall Boy Koozie,Koozie,U,,521,14%,0,$12.13,"$6,319.73",3%
"",Get By Bandana,Bandana,U,,120,3%,0,$23.15,"$2,778.00",1%
JELROL-ACC1049,DREAMS DONT DIE METALLIC TOTE,Bag,U,,33,1%,0,$39.69,"$1,309.77",1%

TOTAL OTHER,"","","","",961,26%,0,"","$24,964.14",13%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total

TOTAL MUSIC,"","","","",0,0%,0,"",$0.00,0%

GRAND TOTAL,"","","","",3758,"",1,"","$196,839.83"
