APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
DEFTONES-T1081-S,North america leg 2 tour t-shirt,T-Shirt,U,S,124,9%,0,$47.70,"$5,914.80",9%
DEFTONES-T1081-M,North america leg 2 tour t-shirt,T-Shirt,U,M,341,26%,1,$47.70,"$16,265.70",26%
DEFTONES-T1081-L,North america leg 2 tour t-shirt,T-Shirt,U,L,431,33%,0,$47.70,"$20,558.70",33%
DEFTONES-T1081-XL,North america leg 2 tour t-shirt,T-Shirt,U,XL,281,21%,0,$47.70,"$13,403.70",21%
DEFTONES-T1081-XXL,North america leg 2 tour t-shirt,T-Shirt,U,2XL,136,10%,0,$47.70,"$6,487.20",10%
SUBTOTAL,North america leg 2 tour t-shirt,T-Shirt,U,"",1313,21%,1,$47.70,"$62,630.10",19%

DEFTONES-T1082-S,"KHAKI, SCORPION TEE	",T-Shirt,U,S,63,10%,0,$47.70,"$3,005.10",10%
DEFTONES-T1082-M,"KHAKI, SCORPION TEE	",T-Shirt,U,M,179,30%,1,$47.70,"$8,538.30",30%
DEFTONES-T1082-L,"KHAKI, SCORPION TEE	",T-Shirt,U,L,164,27%,0,$47.70,"$7,822.80",27%
DEFTONES-T1082-XL,"KHAKI, SCORPION TEE	",T-Shirt,U,XL,136,23%,1,$47.70,"$6,487.20",23%
DEFTONES-T1082-XXL,"KHAKI, SCORPION TEE	",T-Shirt,U,2XL,62,10%,0,$47.70,"$2,957.40",10%
SUBTOTAL,"KHAKI, SCORPION TEE	",T-Shirt,U,"",604,10%,2,$47.70,"$28,810.80",9%

DEFTONES-T1083-S,Band photo t-shirt,T-Shirt,U,S,23,13%,0,$47.70,"$1,097.10",13%
DEFTONES-T1083-M,Band photo t-shirt,T-Shirt,U,M,50,28%,0,$47.70,"$2,385.00",28%
DEFTONES-T1083-L,Band photo t-shirt,T-Shirt,U,L,60,33%,1,$47.70,"$2,862.00",33%
DEFTONES-T1083-XL,Band photo t-shirt,T-Shirt,U,XL,36,20%,0,$47.70,"$1,717.20",20%
DEFTONES-T1083-XXL,Band photo t-shirt,T-Shirt,U,2XL,11,6%,0,$47.70,$524.70,6%
SUBTOTAL,Band photo t-shirt,T-Shirt,U,"",180,3%,1,$47.70,"$8,586.00",3%

DEFTONES-T1084-S,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,S,98,13%,0,$47.70,"$4,674.60",13%
DEFTONES-T1084-M,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,M,230,30%,1,$47.70,"$10,971.00",30%
DEFTONES-T1084-L,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,L,155,20%,0,$47.70,"$7,393.50",20%
DEFTONES-T1084-XL,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,XL,207,27%,0,$47.70,"$9,873.90",27%
DEFTONES-T1084-XXL,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,2XL,75,10%,0,$47.70,"$3,577.50",10%
SUBTOTAL,"PEPPER, SNAKE LOGO TEE	",T-Shirt,U,"",765,12%,1,$47.70,"$36,490.50",11%

DEFTONES-T1085-S,Silhouette t-shirt,T-Shirt,U,S,24,15%,0,$47.70,"$1,144.80",15%
DEFTONES-T1085-M,Silhouette t-shirt,T-Shirt,U,M,54,33%,1,$47.70,"$2,575.80",33%
DEFTONES-T1085-L,Silhouette t-shirt,T-Shirt,U,L,20,12%,1,$47.70,$954.00,12%
DEFTONES-T1085-XL,Silhouette t-shirt,T-Shirt,U,XL,48,30%,1,$47.70,"$2,289.60",30%
DEFTONES-T1085-XXL,Silhouette t-shirt,T-Shirt,U,2XL,16,10%,0,$47.70,$763.20,10%
SUBTOTAL,Silhouette t-shirt,T-Shirt,U,"",162,3%,3,$47.70,"$7,727.40",2%

DEFTONES-T1087-S,"WHITE, WIRES T-SHIRT",T-Shirt,U,S,13,11%,0,$47.70,$620.10,11%
DEFTONES-T1087-M,"WHITE, WIRES T-SHIRT",T-Shirt,U,M,32,27%,0,$47.70,"$1,526.40",27%
DEFTONES-T1087-L,"WHITE, WIRES T-SHIRT",T-Shirt,U,L,50,42%,0,$47.70,"$2,385.00",42%
DEFTONES-T1087-XL,"WHITE, WIRES T-SHIRT",T-Shirt,U,XL,18,15%,0,$47.70,$858.60,15%
DEFTONES-T1087-XXL,"WHITE, WIRES T-SHIRT",T-Shirt,U,2XL,7,6%,0,$47.70,$333.90,6%
SUBTOTAL,"WHITE, WIRES T-SHIRT",T-Shirt,U,"",120,2%,0,$47.70,"$5,724.00",2%

DEFTONES-T1088-S,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,S,69,15%,0,$47.70,"$3,291.30",15%
DEFTONES-T1088-M,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,M,116,26%,1,$47.70,"$5,533.20",26%
DEFTONES-T1088-L,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,L,138,31%,1,$47.70,"$6,582.60",31%
DEFTONES-T1088-XL,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,XL,92,21%,1,$47.70,"$4,388.40",21%
DEFTONES-T1088-XXL,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,2XL,31,7%,0,$47.70,"$1,478.70",7%
SUBTOTAL,"WHITE, EYES TRACKLIST T-SHIRT",T-Shirt,U,"",446,7%,3,$47.70,"$21,274.20",6%

DEFTONES-T10846-S,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,S,62,14%,0,$47.70,"$2,957.40",14%
DEFTONES-T10846-M,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,M,113,25%,1,$47.70,"$5,390.10",25%
DEFTONES-T10846-L,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,L,114,25%,0,$47.70,"$5,437.80",25%
DEFTONES-T10846-XL,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,XL,113,25%,1,$47.70,"$5,390.10",25%
DEFTONES-T10846-XXL,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,2XL,52,11%,0,$47.70,"$2,480.40",11%
SUBTOTAL,"PIGMENT BLACK, PRIVATE MUSIC MANNEQUIN T-SHIRT",T-Shirt,U,"",454,7%,2,$47.70,"$21,655.80",6%

DEFTONES-T1089-S,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,S,3,5%,1,$47.70,$143.10,5%
DEFTONES-T1089-M,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,M,19,29%,1,$47.70,$906.30,29%
DEFTONES-T1089-L,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,L,31,48%,0,$47.70,"$1,478.70",48%
DEFTONES-T1089-XL,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,XL,7,11%,0,$47.70,$333.90,11%
DEFTONES-T1089-XXL,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,2XL,5,8%,0,$47.70,$238.50,8%
SUBTOTAL,"SOLID PINK BLEND, LADIES SWORD CROP",T-Shirt,F,"",65,1%,2,$47.70,"$3,100.50",1%

DEFTONES-LS1016-S,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,S,18,12%,0,$74.20,"$1,335.60",12%
DEFTONES-LS1016-M,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,M,38,25%,1,$74.20,"$2,819.60",25%
DEFTONES-LS1016-L,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,L,49,32%,0,$74.20,"$3,635.80",32%
DEFTONES-LS1016-XL,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,XL,33,22%,0,$74.20,"$2,448.60",22%
DEFTONES-LS1016-XXL,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,2XL,14,9%,0,$74.20,"$1,038.80",9%
SUBTOTAL,"WHITE, ROSE LONGSLEEVE	",Long Sleeve Shirt,U,"",152,2%,1,$74.20,"$11,278.40",3%

