APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-T1017-S,Balloon Arch Tee,T-Shirt,U,S,4,6%,0,$40.00,$160.00,6%
AIRS-T1017-M,Balloon Arch Tee,T-Shirt,U,M,8,13%,0,$40.00,$320.00,13%
AIRS-T1017-L,Balloon Arch Tee,T-Shirt,U,L,15,24%,0,$40.00,$600.00,24%
AIRS-T1017-XL,Balloon Arch Tee,T-Shirt,U,XL,18,29%,0,$40.00,$720.00,29%
AIRS-T1017-XXL,Balloon Arch Tee,T-Shirt,U,2XL,10,16%,2,$40.00,$400.00,16%
AIRS-T1017-3XL,Balloon Arch Tee,T-Shirt,U,3XL,7,11%,0,$40.00,$280.00,11%
SUBTOTAL,Balloon Arch Tee,T-Shirt,U,"",62,28%,2,$40.00,"$2,480.00",27%

AIRS-T1018-S,Jazzy Balloon Tee,T-Shirt,U,S,2,3%,0,$40.00,$80.00,3%
AIRS-T1018-M,Jazzy Balloon Tee,T-Shirt,U,M,7,12%,0,$40.00,$280.00,12%
AIRS-T1018-L,Jazzy Balloon Tee,T-Shirt,U,L,13,22%,0,$40.00,$520.00,22%
AIRS-T1018-XL,Jazzy Balloon Tee,T-Shirt,U,XL,17,29%,0,$40.00,$680.00,29%
AIRS-T1018-XXL,Jazzy Balloon Tee,T-Shirt,U,2XL,13,22%,0,$40.00,$520.00,22%
AIRS-T1018-3XL,Jazzy Balloon Tee,T-Shirt,U,3XL,6,10%,0,$40.00,$240.00,10%
SUBTOTAL,Jazzy Balloon Tee,T-Shirt,U,"",58,26%,0,$40.00,"$2,320.00",25%

AIRS-T1010-S,Est. 1975 Guitar T-Shirt,T-Shirt,M,S,3,8%,0,$40.00,$120.00,8%
AIRS-T1010-M,Est. 1975 Guitar T-Shirt,T-Shirt,M,M,1,3%,0,$40.00,$40.00,3%
AIRS-T1010-L,Est. 1975 Guitar T-Shirt,T-Shirt,M,L,12,32%,0,$40.00,$480.00,32%
AIRS-T1010-XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,XL,8,21%,0,$40.00,$320.00,21%
AIRS-T1010-XXL,Est. 1975 Guitar T-Shirt,T-Shirt,M,2XL,10,26%,0,$40.00,$400.00,26%
AIRS-T1010-3XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,3XL,4,11%,2,$40.00,$160.00,11%
SUBTOTAL,Est. 1975 Guitar T-Shirt,T-Shirt,M,"",38,17%,2,$40.00,"$1,520.00",16%

AIRS-T1016-S,Women's V-Neck T-Shirt,T-Shirt,F,S,1,4%,0,$40.00,$40.00,4%
AIRS-T1016-M,Women's V-Neck T-Shirt,T-Shirt,F,M,5,18%,0,$40.00,$200.00,18%
AIRS-T1016-L,Women's V-Neck T-Shirt,T-Shirt,F,L,8,29%,0,$40.00,$320.00,29%
AIRS-T1016-XL,Women's V-Neck T-Shirt,T-Shirt,F,XL,6,21%,0,$40.00,$240.00,21%
AIRS-T1016-XXL,Women's V-Neck T-Shirt,T-Shirt,F,2XL,8,29%,0,$40.00,$320.00,29%
SUBTOTAL,Women's V-Neck T-Shirt,T-Shirt,F,"",28,13%,0,$40.00,"$1,120.00",12%

AIRS-TOUR-HOOD1003-S,Balloon Arch Hoodie,Sweatshirt,U,S,0,0%,0,$0.00,$0.00,0%
AIRS-TOUR-HOOD1003-M,Balloon Arch Hoodie,Sweatshirt,U,M,0,0%,0,$0.00,$0.00,0%
AIRS-TOUR-HOOD1003-L,Balloon Arch Hoodie,Sweatshirt,U,L,2,50%,0,$75.00,$150.00,50%
AIRS-TOUR-HOOD1003-XL,Balloon Arch Hoodie,Sweatshirt,U,XL,1,25%,0,$75.00,$75.00,25%
AIRS-TOUR-HOOD1003-XXL,Balloon Arch Hoodie,Sweatshirt,U,2XL,1,25%,0,$75.00,$75.00,25%
AIRS-TOUR-HOOD1003-3XL,Balloon Arch Hoodie,Sweatshirt,U,3XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Balloon Arch Hoodie,Sweatshirt,U,"",4,2%,0,$75.00,$300.00,3%

AIRS-JACK1001-S,50th Anniversary Denim Jacket,Jacket,U,S,0,0%,0,$0.00,$0.00,0%
AIRS-JACK1001-M,50th Anniversary Denim Jacket,Jacket,U,M,1,11%,0,$150.00,$150.00,11%
AIRS-JACK1001-L,50th Anniversary Denim Jacket,Jacket,U,L,7,78%,0,$150.00,"$1,050.00",78%
AIRS-JACK1001-XL,50th Anniversary Denim Jacket,Jacket,U,XL,1,11%,0,$150.00,$150.00,11%
AIRS-JACK1001-XXL,50th Anniversary Denim Jacket,Jacket,U,2XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,50th Anniversary Denim Jacket,Jacket,U,"",9,4%,0,$150.00,"$1,350.00",14%

TOTAL APPAREL,"","","","",199,91%,4,"","$9,090.00",97%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-ACC1008,Distressed Logo Tote,Bag,"",,3,1%,0,$30.00,$90.00,1%
AIRS-ACC1009,Jazzy Balloon Magnet,Magnet,"",,11,5%,0,$10.00,$110.00,1%
AIRS-TOUR-ACC1001,Red Logo Lanyards '24,Lanyard,"",,6,3%,0,$10.00,$60.00,1%
AIRS-ACC1005,Logo Bandana 24',Bandana,"",,0,0%,0,$0.00,$0.00,0%
