APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-T1017-S,Balloon Arch Tee,T-Shirt,U,S,5,8%,0,$40.00,$200.00,8%
AIRS-T1017-M,Balloon Arch Tee,T-Shirt,U,M,15,25%,0,$40.00,$600.00,25%
AIRS-T1017-L,Balloon Arch Tee,T-Shirt,U,L,15,25%,0,$40.00,$600.00,25%
AIRS-T1017-XL,Balloon Arch Tee,T-Shirt,U,XL,12,20%,0,$40.00,$480.00,20%
AIRS-T1017-XXL,Balloon Arch Tee,T-Shirt,U,2XL,7,11%,0,$40.00,$280.00,11%
AIRS-T1017-3XL,Balloon Arch Tee,T-Shirt,U,3XL,7,11%,0,$40.00,$280.00,11%
SUBTOTAL,Balloon Arch Tee,T-Shirt,U,"",61,20%,0,$40.00,"$2,440.00",19%

AIRS-T1018-S,Jazzy Balloon Tee,T-Shirt,U,S,2,4%,0,$40.00,$80.00,4%
AIRS-T1018-M,Jazzy Balloon Tee,T-Shirt,U,M,9,20%,0,$40.00,$360.00,20%
AIRS-T1018-L,Jazzy Balloon Tee,T-Shirt,U,L,9,20%,0,$40.00,$360.00,20%
AIRS-T1018-XL,Jazzy Balloon Tee,T-Shirt,U,XL,11,24%,0,$40.00,$440.00,24%
AIRS-T1018-XXL,Jazzy Balloon Tee,T-Shirt,U,2XL,10,22%,0,$40.00,$400.00,22%
AIRS-T1018-3XL,Jazzy Balloon Tee,T-Shirt,U,3XL,4,9%,0,$40.00,$160.00,9%
SUBTOTAL,Jazzy Balloon Tee,T-Shirt,U,"",45,14%,0,$40.00,"$1,800.00",14%

AIRS-T1010-S,Est. 1975 Guitar T-Shirt,T-Shirt,M,S,6,8%,0,$40.00,$240.00,8%
AIRS-T1010-M,Est. 1975 Guitar T-Shirt,T-Shirt,M,M,16,23%,0,$40.00,$640.00,23%
AIRS-T1010-L,Est. 1975 Guitar T-Shirt,T-Shirt,M,L,20,28%,0,$40.00,$800.00,28%
AIRS-T1010-XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,XL,15,21%,0,$40.00,$600.00,21%
AIRS-T1010-XXL,Est. 1975 Guitar T-Shirt,T-Shirt,M,2XL,10,14%,0,$40.00,$400.00,14%
AIRS-T1010-3XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,3XL,4,6%,0,$40.00,$160.00,6%
SUBTOTAL,Est. 1975 Guitar T-Shirt,T-Shirt,M,"",71,23%,0,$40.00,"$2,840.00",22%

AIRS-T1016-S,Women's V-Neck T-Shirt,T-Shirt,F,S,8,19%,0,$40.00,$320.00,19%
AIRS-T1016-M,Women's V-Neck T-Shirt,T-Shirt,F,M,11,26%,0,$40.00,$440.00,26%
AIRS-T1016-L,Women's V-Neck T-Shirt,T-Shirt,F,L,12,29%,0,$40.00,$480.00,29%
AIRS-T1016-XL,Women's V-Neck T-Shirt,T-Shirt,F,XL,6,14%,0,$40.00,$240.00,14%
AIRS-T1016-XXL,Women's V-Neck T-Shirt,T-Shirt,F,2XL,5,12%,0,$40.00,$200.00,12%
SUBTOTAL,Women's V-Neck T-Shirt,T-Shirt,F,"",42,13%,0,$40.00,"$1,680.00",13%

