APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-T1017-S,Balloon Arch Tee,T-Shirt,U,S,2,4%,0,$40.00,$80.00,4%
AIRS-T1017-M,Balloon Arch Tee,T-Shirt,U,M,7,16%,0,$40.00,$280.00,16%
AIRS-T1017-L,Balloon Arch Tee,T-Shirt,U,L,15,33%,0,$40.00,$600.00,33%
AIRS-T1017-XL,Balloon Arch Tee,T-Shirt,U,XL,12,27%,0,$40.00,$480.00,27%
AIRS-T1017-XXL,Balloon Arch Tee,T-Shirt,U,2XL,7,16%,0,$40.00,$280.00,16%
AIRS-T1017-3XL,Balloon Arch Tee,T-Shirt,U,3XL,2,4%,0,$40.00,$80.00,4%
SUBTOTAL,Balloon Arch Tee,T-Shirt,U,"",45,24%,0,$40.00,"$1,800.00",24%

AIRS-T1018-S,Jazzy Balloon Tee,T-Shirt,U,S,1,4%,0,$40.00,$40.00,4%
AIRS-T1018-M,Jazzy Balloon Tee,T-Shirt,U,M,1,4%,0,$40.00,$40.00,4%
AIRS-T1018-L,Jazzy Balloon Tee,T-Shirt,U,L,7,27%,0,$40.00,$280.00,27%
AIRS-T1018-XL,Jazzy Balloon Tee,T-Shirt,U,XL,5,19%,0,$40.00,$200.00,19%
AIRS-T1018-XXL,Jazzy Balloon Tee,T-Shirt,U,2XL,7,27%,0,$40.00,$280.00,27%
AIRS-T1018-3XL,Jazzy Balloon Tee,T-Shirt,U,3XL,5,19%,0,$40.00,$200.00,19%
SUBTOTAL,Jazzy Balloon Tee,T-Shirt,U,"",26,14%,0,$40.00,"$1,040.00",14%

AIRS-T1010-S,Est. 1975 Guitar T-Shirt,T-Shirt,M,S,3,7%,0,$40.00,$120.00,7%
AIRS-T1010-M,Est. 1975 Guitar T-Shirt,T-Shirt,M,M,11,24%,0,$40.00,$440.00,24%
AIRS-T1010-L,Est. 1975 Guitar T-Shirt,T-Shirt,M,L,13,28%,0,$40.00,$520.00,28%
AIRS-T1010-XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,XL,10,22%,0,$40.00,$400.00,22%
AIRS-T1010-XXL,Est. 1975 Guitar T-Shirt,T-Shirt,M,2XL,6,13%,1,$40.00,$240.00,13%
AIRS-T1010-3XL,Est. 1975 Guitar T-Shirt,T-Shirt,M,3XL,3,7%,0,$40.00,$120.00,7%
SUBTOTAL,Est. 1975 Guitar T-Shirt,T-Shirt,M,"",46,24%,1,$40.00,"$1,840.00",24%

AIRS-T1016-S,Women's V-Neck T-Shirt,T-Shirt,F,S,6,21%,0,$40.00,$240.00,21%
AIRS-T1016-M,Women's V-Neck T-Shirt,T-Shirt,F,M,5,18%,0,$40.00,$200.00,18%
AIRS-T1016-L,Women's V-Neck T-Shirt,T-Shirt,F,L,7,25%,0,$40.00,$280.00,25%
AIRS-T1016-XL,Women's V-Neck T-Shirt,T-Shirt,F,XL,6,21%,0,$40.00,$240.00,21%
AIRS-T1016-XXL,Women's V-Neck T-Shirt,T-Shirt,F,2XL,4,14%,0,$40.00,$160.00,14%
SUBTOTAL,Women's V-Neck T-Shirt,T-Shirt,F,"",28,15%,0,$40.00,"$1,120.00",15%

AIRS-TOUR-HOOD1003-S,Balloon Arch Hoodie,Sweatshirt,U,S,0,0%,0,$0.00,$0.00,0%
AIRS-TOUR-HOOD1003-M,Balloon Arch Hoodie,Sweatshirt,U,M,1,20%,0,$75.00,$75.00,20%
AIRS-TOUR-HOOD1003-L,Balloon Arch Hoodie,Sweatshirt,U,L,2,40%,0,$75.00,$150.00,40%
AIRS-TOUR-HOOD1003-XL,Balloon Arch Hoodie,Sweatshirt,U,XL,1,20%,0,$75.00,$75.00,20%
AIRS-TOUR-HOOD1003-XXL,Balloon Arch Hoodie,Sweatshirt,U,2XL,0,0%,0,$0.00,$0.00,0%
AIRS-TOUR-HOOD1003-3XL,Balloon Arch Hoodie,Sweatshirt,U,3XL,1,20%,0,$75.00,$75.00,20%
SUBTOTAL,Balloon Arch Hoodie,Sweatshirt,U,"",5,3%,0,$75.00,$375.00,5%

AIRS-JACK1001-S,50th Anniversary Denim Jacket,Jacket,U,S,0,0%,0,$0.00,$0.00,0%
AIRS-JACK1001-M,50th Anniversary Denim Jacket,Jacket,U,M,1,20%,0,$150.00,$150.00,20%
AIRS-JACK1001-L,50th Anniversary Denim Jacket,Jacket,U,L,3,60%,0,$150.00,$450.00,60%
AIRS-JACK1001-XL,50th Anniversary Denim Jacket,Jacket,U,XL,0,0%,0,$0.00,$0.00,0%
AIRS-JACK1001-XXL,50th Anniversary Denim Jacket,Jacket,U,2XL,1,20%,0,$150.00,$150.00,20%
SUBTOTAL,50th Anniversary Denim Jacket,Jacket,U,"",5,3%,0,$150.00,$750.00,10%

TOTAL APPAREL,"","","","",155,81%,1,"","$6,925.00",91%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-ACC1008,Distressed Logo Tote,Bag,"",,15,8%,0,$30.00,$450.00,6%
AIRS-ACC1009,Jazzy Balloon Magnet,Magnet,"",,14,7%,0,$10.00,$140.00,2%
AIRS-TOUR-ACC1001,Red Logo Lanyards '24,Lanyard,"",,7,4%,0,$10.00,$70.00,1%

TOTAL OTHER,"","","","",36,19%,0,"",$660.00,9%


MUSIC
