APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
GAR-T2022-S,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,S,9,8%,0,$43.45,$391.05,8%
GAR-T2022-M,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,M,20,18%,0,$43.45,$869.00,18%
GAR-T2022-L,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,L,35,32%,0,$43.45,"$1,520.75",32%
GAR-T2022-XL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,XL,27,24%,0,$43.45,"$1,173.15",24%
GAR-T2022-XXL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,2XL,20,18%,0,$43.45,$869.00,18%
SUBTOTAL,Octopus Garbage 2025 Tour T-Shirt,T-Shirt,U,"",111,27%,0,$43.45,"$4,822.95",28%

GAR-T2021-S,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,S,13,12%,1,$43.45,$564.85,12%
GAR-T2021-M,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,M,23,22%,0,$43.45,$999.35,22%
GAR-T2021-L,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,L,31,29%,0,$43.45,"$1,346.95",29%
GAR-T2021-XL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,XL,22,21%,0,$43.45,$955.90,21%
GAR-T2021-XXL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,2XL,17,16%,0,$43.45,$738.65,16%
SUBTOTAL,Shirley Garbage 2025 Tour T-Shirt,T-Shirt,U,"",106,25%,1,$43.45,"$4,605.70",27%

GAR-T2024-S,Shirley Lightning Face T-Shirt ,T-Shirt,U,S,4,11%,0,$43.45,$173.80,11%
GAR-T2024-M,Shirley Lightning Face T-Shirt ,T-Shirt,U,M,10,29%,0,$43.45,$434.50,29%
GAR-T2024-L,Shirley Lightning Face T-Shirt ,T-Shirt,U,L,10,29%,0,$43.45,$434.50,29%
GAR-T2024-XL,Shirley Lightning Face T-Shirt ,T-Shirt,U,XL,7,20%,0,$43.45,$304.15,20%
GAR-T2024-XXL,Shirley Lightning Face T-Shirt ,T-Shirt,U,2XL,4,11%,0,$43.45,$173.80,11%
SUBTOTAL,Shirley Lightning Face T-Shirt ,T-Shirt,U,"",35,8%,0,$43.45,"$1,520.75",9%

GAR-T2023-S,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,S,11,18%,0,$43.45,$477.95,18%
GAR-T2023-M,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,M,13,22%,0,$43.45,$564.85,22%
GAR-T2023-L,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,L,16,27%,0,$43.45,$695.20,27%
GAR-T2023-XL,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,XL,14,23%,0,$43.45,$608.30,23%
GAR-T2023-XXL,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,2XL,6,10%,0,$43.45,$260.70,10%
SUBTOTAL,Screamin' Shirley Band Photo T-Shirt,T-Shirt,U,"",60,14%,0,$43.45,"$2,607.00",15%

GAR-HOOD1012-S,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,S,0,0%,0,$0.00,$0.00,0%
GAR-HOOD1012-M,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,M,7,37%,0,$76.04,$532.28,37%
GAR-HOOD1012-L,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,L,4,21%,0,$76.04,$304.16,21%
GAR-HOOD1012-XL,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,XL,6,32%,0,$76.04,$456.24,32%
GAR-HOOD1012-XXL,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,2XL,2,11%,0,$76.04,$152.08,11%
SUBTOTAL,Garbage Band Photo 2025 Tour Hoodie,Pullover Hoodie,U,"",19,5%,0,$76.04,"$1,444.76",8%

GAR-ACC1064,Octopus Hat,Hat,U,One-Size,15,100%,0,$38.02,$570.30,100%
SUBTOTAL,Octopus Hat,Hat,U,"",15,4%,0,$38.02,$570.30,3%

TOTAL APPAREL,"","","","",346,83%,1,"","$15,571.46",90%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
GAR-ACC1066,Garbage Band Photo Tote,Bag,"",,18,4%,0,$32.59,$586.62,3%
GAR-ACC1065,2025 North American Tour Poster ,Poster,"",,39,9%,0,$16.29,$635.31,4%
GAR-ACC1063,Octopus Keychain,Keychain,"",,0,0%,1,$0.00,$0.00,0%

TOTAL OTHER,"","","","",57,14%,1,"","$1,221.93",7%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
GAR-VIN1008,Vinyl Let All That We Imagine Be The Light,Vinyl,"",,14,3%,0,$32.59,$456.26,3%

TOTAL MUSIC,"","","","",14,3%,0,"",$456.26,3%

GRAND TOTAL,"","","","",417,"",2,"","$17,249.65"
